timestamp,axis,direction,speed_level,zoom,repeat_idx,position
2026-05-25 10:29:09.714,tilt,1,1,10,2,483.0
2026-05-25 10:29:09.850,tilt,1,1,10,2,483.0
2026-05-25 10:29:09.999,tilt,1,1,10,2,484.0
2026-05-25 10:29:10.135,tilt,1,1,10,2,484.0
2026-05-25 10:29:10.272,tilt,1,1,10,2,484.0
2026-05-25 10:29:10.412,tilt,1,1,10,2,485.0
2026-05-25 10:29:10.562,tilt,1,1,10,2,485.0
2026-05-25 10:29:10.693,tilt,1,1,10,2,485.0
2026-05-25 10:29:10.833,tilt,1,1,10,2,486.0
2026-05-25 10:29:10.970,tilt,1,1,10,2,486.0
2026-05-25 10:29:11.138,tilt,1,1,10,2,487.0
2026-05-25 10:29:11.283,tilt,1,1,10,2,487.0
2026-05-25 10:29:11.420,tilt,1,1,10,2,487.0
2026-05-25 10:29:11.557,tilt,1,1,10,2,488.0
2026-05-25 10:29:15.830,tilt,-1,1,10,0,450.0
2026-05-25 10:29:15.966,tilt,-1,1,10,0,450.0
2026-05-25 10:29:16.108,tilt,-1,1,10,0,449.0
2026-05-25 10:29:16.245,tilt,-1,1,10,0,449.0
2026-05-25 10:29:16.389,tilt,-1,1,10,0,449.0
2026-05-25 10:29:16.519,tilt,-1,1,10,0,448.0
2026-05-25 10:29:16.650,tilt,-1,1,10,0,448.0
2026-05-25 10:29:16.798,tilt,-1,1,10,0,448.0
2026-05-25 10:29:16.930,tilt,-1,1,10,0,447.0
2026-05-25 10:29:17.072,tilt,-1,1,10,0,447.0
2026-05-25 10:29:17.212,tilt,-1,1,10,0,447.0
2026-05-25 10:29:17.378,tilt,-1,1,10,0,446.0
2026-05-25 10:29:17.516,tilt,-1,1,10,0,446.0
2026-05-25 10:29:17.650,tilt,-1,1,10,0,445.0
2026-05-25 10:29:17.791,tilt,-1,1,10,0,445.0
2026-05-25 10:29:17.935,tilt,-1,1,10,0,445.0
2026-05-25 10:29:18.073,tilt,-1,1,10,0,444.0
2026-05-25 10:29:18.209,tilt,-1,1,10,0,444.0
2026-05-25 10:29:18.352,tilt,-1,1,10,0,444.0
2026-05-25 10:29:18.489,tilt,-1,1,10,0,443.0
2026-05-25 10:29:18.636,tilt,-1,1,10,0,443.0
2026-05-25 10:29:18.773,tilt,-1,1,10,0,443.0
2026-05-25 10:29:19.148,tilt,-1,1,10,0,442.0
2026-05-25 10:29:19.287,tilt,-1,1,10,0,441.0
2026-05-25 10:29:19.436,tilt,-1,1,10,0,441.0
2026-05-25 10:29:19.552,tilt,-1,1,10,0,441.0
2026-05-25 10:29:19.674,tilt,-1,1,10,0,440.0
2026-05-25 10:29:19.815,tilt,-1,1,10,0,440.0
2026-05-25 10:29:19.955,tilt,-1,1,10,0,440.0
2026-05-25 10:29:20.095,tilt,-1,1,10,0,439.0
2026-05-25 10:29:20.233,tilt,-1,1,10,0,439.0
2026-05-25 10:29:20.359,tilt,-1,1,10,0,439.0
2026-05-25 10:29:20.513,tilt,-1,1,10,0,438.0
2026-05-25 10:29:20.653,tilt,-1,1,10,0,438.0
2026-05-25 10:29:20.797,tilt,-1,1,10,0,438.0
2026-05-25 10:29:20.940,tilt,-1,1,10,0,437.0
2026-05-25 10:29:21.055,tilt,-1,1,10,0,437.0
2026-05-25 10:29:21.195,tilt,-1,1,10,0,437.0
2026-05-25 10:29:21.311,tilt,-1,1,10,0,436.0
2026-05-25 10:29:21.452,tilt,-1,1,10,0,436.0
2026-05-25 10:29:21.596,tilt,-1,1,10,0,436.0
2026-05-25 10:29:21.733,tilt,-1,1,10,0,435.0
2026-05-25 10:29:21.870,tilt,-1,1,10,0,435.0
2026-05-25 10:29:22.013,tilt,-1,1,10,0,435.0
2026-05-25 10:29:22.158,tilt,-1,1,10,0,434.0
2026-05-25 10:29:22.292,tilt,-1,1,10,0,434.0
2026-05-25 10:29:22.429,tilt,-1,1,10,0,434.0
2026-05-25 10:29:22.569,tilt,-1,1,10,0,433.0
2026-05-25 10:29:22.712,tilt,-1,1,10,0,433.0
2026-05-25 10:29:22.849,tilt,-1,1,10,0,433.0
2026-05-25 10:29:22.991,tilt,-1,1,10,0,432.0
2026-05-25 10:29:23.130,tilt,-1,1,10,0,432.0
2026-05-25 10:29:23.276,tilt,-1,1,10,0,432.0
2026-05-25 10:29:23.414,tilt,-1,1,10,0,431.0
2026-05-25 10:29:23.549,tilt,-1,1,10,0,431.0
2026-05-25 10:29:23.711,tilt,-1,1,10,0,430.0
2026-05-25 10:29:23.848,tilt,-1,1,10,0,430.0
2026-05-25 10:29:23.996,tilt,-1,1,10,0,430.0
2026-05-25 10:29:24.112,tilt,-1,1,10,0,429.0
2026-05-25 10:29:24.252,tilt,-1,1,10,0,429.0
2026-05-25 10:29:24.397,tilt,-1,1,10,0,429.0
2026-05-25 10:29:24.534,tilt,-1,1,10,0,428.0
2026-05-25 10:29:24.673,tilt,-1,1,10,0,428.0
2026-05-25 10:29:24.812,tilt,-1,1,10,0,428.0
2026-05-25 10:29:24.930,tilt,-1,1,10,0,427.0
2026-05-25 10:29:25.066,tilt,-1,1,10,0,427.0
2026-05-25 10:29:25.205,tilt,-1,1,10,0,427.0
